Date,Price,Open,High,Low
2017-05-18,118.809.998,119.769.997,119.839.996,118.559.998
2017-05-17,119.790.001,119.360.001,120.019.997,119.269.997
2017-05-16,117.650.002,117.449.997,117.910.004,117.400.002
2017-05-15,117.139.999,117.519.997,117.540.001,116.989.998
2017-05-12,116.830.002,117.07,117.160.004,116.730.003
2017-05-11,116.5,116.209.999,116.849.998,116.190.002
2017-05-10,116.040.001,116.419.998,116.5,115.860.001
2017-05-09,116.050.003,116.18,116.239.998,115.559.998
2017-05-08,116.75,117.029.999,117.139.999,116.68
2017-05-05,117.010.002,116.860.001,117.07,116.68
2017-05-04,116.790.001,116.809.998,117.279.999,116.629.997
2017-05-03,117.980.003,119.18,119.339.996,117.919.998
2017-05-02,119.650.002,119.300.003,119.650.002,119.239.998
2017-05-01,119.669.998,120.209.999,120.75,119.349.998
2017-04-28,120.769.997,120.339.996,120.769.997,120.269.997
2017-04-27,120.389.999,120.419.998,120.599.998,119.970.001
2017-04-26,120.839.996,120.209.999,120.959.999,119.870.003
2017-04-25,120.25,120.529.999,120.870.003,120.050.003
2017-04-24,121.480.003,120.769.997,121.510.002,120.660.004
2017-04-21,122.309.998,122.139.999,122.610.001,121.730.003
2017-04-20,121.959.999,121.82,122.169.998,121.5
2017-04-19,121.730.003,122.25,122.260.002,121.279.999
2017-04-18,122.82,122.43,123.029.999,121.730.003
2017-04-17,122.239.998,122.550.003,123.07,121.989.998
2017-04-13,122.599.998,122.540.001,122.650.002,122.029.999
2017-04-12,122.019.997,121.379.997,122.220.001,121.139.999
2017-04-11,121.190.002,120.330.002,121.400.002,120.290.001
2017-04-10,119.459.999,119.040.001,119.690.002,118.849.998
2017-04-07,119.459.999,120.300.003,120.669.998,119.139.999
2017-04-06,119.18,119.220.001,119.419.998,118.980.003
2017-04-05,119.620.003,118.620.003,119.629.997,118.400.002
2017-04-04,119.620.003,119.589.996,119.769.997,119.379.997
2017-04-03,119.349.998,118.690.002,119.370.003,118.669.998
2017-03-31,118.720.001,118.610.001,119.080.002,118.459.999
2017-03-30,118.470.001,118.769.997,119.120.003,118.32
2017-03-29,119.330.002,119.220.001,119.449.997,119.050.003
2017-03-28,119.040.001,119.739.998,119.830.002,118.779.999
2017-03-27,119.529.999,119.93,120.080.002,119.269.997
2017-03-24,118.860.001,118.5,119.209.999,118.389.999
2017-03-23,118.669.998,119.150.002,119.25,118.32
2017-03-22,118.830.002,118.870.003,119.150.002,118.68
2017-03-21,118.540.001,117.769.997,118.800.003,117.760.002
2017-03-20,117.510.002,117.309.998,117.599.998,117.209.999
2017-03-17,116.989.998,117.040.001,117.269.997,116.910.004
2017-03-16,116.730.003,117.269.997,117.290.001,116.690.002
2017-03-15,116.25,114.290.001,116.25,114.019.997
2017-03-14,114.120.003,114.540.001,115.010.002,114.029.999
2017-03-13,114.739.998,114.629.997,114.910.004,114.510.002
2017-03-10,114.720.001,114.449.997,114.730.003,114.129.997
2017-03-09,114.470.001,114.779.999,115.029.999,114.410.004
2017-03-08,115.059.998,114.989.998,115.360.001,114.949.997
2017-03-07,115.779.999,116.129.997,116.25,115.620.003
2017-03-06,116.720.001,117.349.998,117.349.998,116.629.997
2017-03-03,117.510.002,116.949.997,117.730.003,116.440.002
2017-03-02,117.580.002,117.760.002,118.339.996,117.230.003
2017-03-01,119.059.998,117.980.003,119.120.003,117.949.997
2017-02-28,119.230.003,119.709.999,119.839.996,118.82
2017-02-27,119.120.003,119.730.003,120.400.002,119.120.003
2017-02-24,119.699.997,119.739.998,119.879.997,119.25
2017-02-23,118.940.002,118.760.002,119.160.004,118.68
